L'ENTRÉE À FROID DU TEXTE DU HÉROS — trajectoire relevée image par image

Exigence client du 10/08. Quatre lignes, quatre rangs de cascade de 70 ms,
--ms-hero (1 400 ms) et --ease-coule. Aucun script du site n’est encore
passé quand la première valeur est relevée : le geste part au PREMIER
calcul de style, ce qui est toute la différence avec la signature de C17.

   ms   surtitre   monument   baseline    bouton
   ----------------------------------------------
  124      0.000      0.000      0.000      0.000
  128      0.142      0.000      0.000      0.000
  193      0.381      0.128      0.000      0.000
  244      0.521      0.317      0.046      0.000
  310      0.658      0.511      0.304      0.029
  360      0.735      0.622      0.460      0.234
  376      0.756      0.652      0.503      0.293
  426      0.810      0.730      0.615      0.450
  494      0.865      0.808      0.727      0.610
  543      0.895      0.850      0.787      0.697
  609      0.925      0.893      0.847      0.783
  660      0.942      0.917      0.881      0.832
  676      0.947      0.923      0.891      0.845
  726      0.959      0.941      0.915      0.879
  793      0.972      0.958      0.940      0.914
  843      0.979      0.968      0.954      0.933
  859      0.981      0.971      0.958      0.939
  909      0.986      0.978      0.968      0.953
  960      0.990      0.984      0.976      0.964
  977      0.991      0.986      0.978      0.967
 1026      0.994      0.990      0.984      0.975
 1093      0.996      0.994      0.989      0.983
 1143      0.998      0.996      0.993      0.988
 1210      0.999      0.998      0.996      0.992
 1260      0.999      0.999      0.997      0.995
 1276      1.000      0.999      0.998      0.995
 1326      1.000      0.999      0.999      0.997
 1393      1.000      1.000      0.999      0.998
 1443      1.000      1.000      1.000      0.999
 1510      1.000      1.000      1.000      1.000
 1560      1.000      1.000      1.000      1.000
 1576      1.000      1.000      1.000      1.000
 1627      1.000      1.000      1.000      1.000
 1693      1.000      1.000      1.000      1.000
 1743      1.000      1.000      1.000      1.000
 1759      1.000      1.000      1.000      1.000
 1809      1.000      1.000      1.000      1.000
 1876      1.000      1.000      1.000      1.000
 1926      1.000      1.000      1.000      1.000
 1992      1.000      1.000      1.000      1.000
 2043      1.000      1.000      1.000      1.000
 2059      1.000      1.000      1.000      1.000
 2109      1.000      1.000      1.000      1.000
 2176      1.000      1.000      1.000      1.000

Départ  : 0.000  0.000  0.000  0.000  (à 85 ms)
Arrivée : 1.000  1.000  1.000  1.000  (à 2209 ms)

Les quatre lignes partent de zéro, montent dans l’ordre de leur rang, et
finissent toutes à un. La macro, elle, ne bouge pas — c’est un cas de
campagne qui le fixe (échantillonnage de sa transformation).
